Date,accountCAD,accountUSD,accountUSD_CADHDG,portfolio
2018-03-20,83411.35352656078,68392.57793704182,89461.59891668633,172872.9524432471
2018-03-21,83168.9947661903,68459.09245036443,89506.15874252342,172675.1535087137
2018-03-22,82166.63509382831,67461.76827485459,87006.7957219896,169173.4308158179
2018-03-23,81281.58628231975,66781.97749544462,86356.44378784222,167638.03007016197
2018-03-26,82103.56901958893,67808.16084228072,87341.65525808086,169445.2242776698
2018-03-27,81825.3258614172,67343.91866698844,86443.32651787401,168268.6523792912
2018-03-28,82089.99345559084,67349.78508696829,86736.4222272285,168826.41568281932
2018-03-29,82808.4915705256,67964.61607821727,87802.80957384073,170611.30114436633
2018-04-02,87803.4915705256,71837.71967691791,92619.65010551391,180423.1416760395
2018-04-03,87963.06256653144,72215.52773927363,93309.67997595879,181272.74254249025
2018-04-04,87986.97343457186,72497.8970718666,92842.25541881066,180829.22885338252
2018-04-05,88494.90547407206,72726.17676592991,92758.6015180201,181253.50699209218
2018-04-06,87843.57700143024,72126.68058416247,92099.9981568317,179943.57515826193
2018-04-09,88058.78717934914,72343.37944358098,92445.43855879521,180504.22573814436
2018-04-10,88382.01982538543,73009.60891099166,92736.80626922697,181118.82609461242
2018-04-11,88298.27169646666,72909.71999073324,91818.13026086151,180116.40195732817
2018-04-12,88443.76007827675,73069.59103442388,91826.55789609185,180270.3179743686
2018-04-13,88356.31838227258,72932.00140872561,91812.63933283044,180168.95771510302
2018-04-16,88308.48203729492,73108.4685505922,92129.82964150952,180438.31167880446
2018-04-17,88527.84390334765,73369.25528621832,92195.8078299687,180723.65173331636
2018-04-18,89011.7916467491,73466.23372413701,92261.10393544669,181272.89558219578
2018-04-19,88758.233438749,73157.03042542063,92368.06259650039,181126.29603524937
2018-04-20,88626.78667323483,72732.82558411115,92115.39500883201,180742.18168206685
2018-04-23,88759.44411638222,72586.56465725691,92669.08798359137,181428.53209997358
2018-04-24,88497.28687513515,72218.77525523936,92757.79394605549,181255.08082119064
2018-04-25,88445.83661415824,72071.01363349186,92404.40892435361,180850.24553851184
2018-04-26,89112.36344905943,72509.64204625064,93073.37455286064,182185.73800192005
2018-04-27,89275.84330693877,72630.90724617062,93478.15521758604,182753.9985245248
2018-04-30,89115.4558433525,72378.55038980092,92932.61199369666,182048.06783704914
2018-05-01,89058.90049440428,72243.55499013927,92698.5911099376,181757.4916043419
2018-05-02,89060.54363042739,72060.14849658999,92562.70411020558,181623.24774063297
2018-05-03,88990.52172877171,72057.90297680374,92824.9921128096,181815.5138415813
2018-05-04,89284.94558200293,72393.02445527086,93029.3834888361,182314.32907083904
2018-05-07,89422.45452038129,72426.23000965879,93109.71560220391,182532.1701225852
2018-05-08,89676.20975074875,72459.97247239982,93321.196446466,182997.40619721473
2018-05-09,89722.96070924672,72655.78292443373,94045.64372671215,183768.60443595887
2018-05-10,90177.48323708418,73229.18066379901,94097.30357944519,184274.78681652935
2018-05-11,90276.20352222981,73277.89820820448,93574.41356511523,183850.61708734505
2018-05-14,90538.4082102995,73316.99529252293,93706.45269022927,184244.8609005288
2018-05-15,90114.79991123451,72700.0612449992,93056.07631363354,183170.87622486806
2018-05-16,90222.591897198,72946.99134679076,93898.0958299055,184120.6877271035
2018-05-17,90170.82983103568,72793.54333988961,93044.70930464528,183215.53913568094
2018-05-18,90197.61710337787,72653.56693864378,93254.48759014982,183452.10469352768
2018-05-21,90197.61710337787,72978.90316786047,93975.65985156615,184173.276954944
2018-05-22,90296.70923123596,72938.60031051657,93185.62902510987,183482.33825634583
